user_id,word,attempts_total,correct_rate,days_since_last_seen,current_streak,is_correct_next
u16,device,5,0.69,1,2,1
u15,apple,14,0.68,4,5,1
u9,river,7,0.72,8,0,0
u19,network,10,0.68,7,2,1
u20,apple,14,0.54,6,2,1
u11,memory,12,0.59,8,3,1
u16,sensor,4,0.35,5,3,0
u3,device,5,0.31,0,1,1
u16,quiet,4,0.51,2,4,1
u12,device,13,0.56,8,2,0
u9,predict,7,0.65,2,0,1
u18,future,4,0.73,0,0,1
u15,network,13,0.79,6,4,1
u14,command,14,0.29,3,2,0
u14,engine,13,0.61,3,0,1
u15,practice,5,0.53,3,3,0
u14,predict,12,0.53,3,4,1
u19,predict,9,1.0,9,3,1
u6,command,3,0.73,1,0,1
u3,system,5,0.55,9,1,0
u4,command,8,0.54,0,1,1
u6,vocab,7,0.36,3,5,1
u7,engine,1,0.6,5,0,1
u13,signal,3,0.53,2,2,1
u5,apple,11,0.45,0,0,0
u14,sensor,14,0.9,9,3,1
u17,sensor,4,0.71,5,3,1
u16,command,7,0.79,2,1,1
u9,sensor,1,1.0,3,2,1
u18,river,3,0.66,2,0,0
u15,system,9,0.65,0,5,1
u12,however,7,0.7,10,7,0
u6,device,10,0.29,15,0,0
u1,river,7,0.48,0,2,1
u18,river,12,0.31,2,1,0
u9,engine,10,0.64,0,2,1
u2,build,5,0.81,0,2,1
u2,command,6,0.5,8,1,0
u13,future,10,0.67,6,0,0
u7,future,10,0.74,0,2,1
u18,quiet,3,0.51,1,2,1
u9,sensor,7,0.56,4,1,1
u13,quiet,1,0.54,10,3,1
u3,predict,6,0.69,7,2,0
u13,practice,11,0.3,2,4,0
u3,river,1,0.48,5,6,1
u16,engine,9,0.81,3,0,1
u13,signal,14,0.68,1,2,1
u18,build,14,0.88,6,1,1
u7,however,7,0.81,6,2,0
u9,practice,2,0.56,0,3,1
u19,network,1,0.27,3,2,1
u1,vocab,6,1.0,9,3,0
u14,system,8,0.59,4,2,0
u11,command,7,0.44,5,4,1
u16,meaning,8,1.0,6,1,1
u8,command,10,0.27,4,4,0
u9,memory,2,0.89,3,3,1
u10,system,4,0.64,1,1,1
u6,lesson,7,0.26,0,1,1
u20,network,9,0.42,6,5,0
u4,river,6,0.67,0,2,1
u15,device,3,0.89,6,1,1
u15,however,10,0.56,9,3,0
u19,sensor,6,0.36,4,0,0
u9,sensor,13,0.78,4,2,1
u1,system,11,0.9,0,2,1
u10,signal,14,0.52,0,2,1
u1,network,10,0.34,0,1,1
u14,memory,8,0.77,5,1,1
u19,signal,1,0.58,3,0,1
u6,sensor,4,0.76,0,0,0
u9,however,9,0.89,2,5,1
u9,apple,5,0.49,0,1,0
u14,network,2,0.55,10,1,0
u18,device,11,0.44,7,0,1
u5,lesson,14,0.9,6,3,1
u11,quiet,1,0.45,4,3,0
u6,engine,6,0.61,0,2,1
u7,quiet,14,1.0,5,0,1
u3,device,2,0.93,6,1,1
u19,vocab,11,0.4,8,0,0
u18,quiet,9,0.86,11,4,1
u15,network,11,0.88,4,0,1
u15,build,11,0.55,12,3,0
u16,network,7,0.56,1,2,0
u10,network,1,0.28,10,2,0
u9,however,5,0.91,6,0,0
u12,future,10,0.68,6,4,1
u7,vocab,2,0.76,3,0,1
u7,device,12,0.2,6,0,1
u8,vocab,11,0.61,0,0,0
u16,practice,1,0.86,5,2,1
u11,vocab,1,0.65,2,3,1
u7,memory,2,0.72,0,1,0
u8,river,9,0.83,2,2,1
u16,however,8,0.51,5,2,0
u13,river,14,0.66,9,1,1
u10,signal,8,0.59,3,0,0
u13,future,13,0.73,2,0,0
u12,lesson,6,1.0,9,2,1
u20,sensor,5,0.76,12,1,1
u4,network,10,0.31,7,4,0
u6,vocab,6,0.89,0,0,1
u8,meaning,4,0.67,5,2,1
u17,engine,14,0.63,5,0,0
u12,meaning,13,0.74,5,0,0
u9,signal,3,0.67,1,0,0
u18,quiet,10,0.77,8,4,1
u18,sensor,6,0.53,0,0,0
u13,future,6,0.83,8,7,1
u10,practice,8,0.51,7,0,0
u19,apple,5,0.26,11,0,0
u20,sensor,4,0.69,4,0,1
u17,teacher,1,0.74,0,0,1
u15,sensor,5,0.58,2,4,1
u14,engine,13,0.22,10,2,0
u9,predict,14,0.81,4,3,1
u7,lesson,11,0.58,4,0,1
u15,system,8,0.61,5,2,1
u20,system,10,0.49,5,4,1
u6,practice,6,0.63,0,2,1
u2,engine,5,0.41,0,2,0
u16,predict,1,0.65,6,4,1
u19,practice,5,0.74,2,4,1
u5,practice,4,0.7,8,1,1
u9,quiet,1,0.58,4,0,1
u10,river,3,0.65,3,0,0
u11,future,14,0.7,2,1,0
u20,predict,3,0.69,7,3,0
u13,however,3,1.0,6,1,0
u1,teacher,11,0.8,2,0,1
u17,network,5,0.3,2,4,0
u13,teacher,12,0.63,5,5,1
u3,predict,11,0.46,5,0,1
u18,device,3,0.72,9,2,0
u17,predict,11,0.96,0,0,1
u6,meaning,14,0.76,6,2,0
u17,future,9,0.73,0,2,0
u20,network,5,0.53,6,2,0
u19,quiet,4,0.94,4,2,0
u14,sensor,3,0.66,2,4,1
u8,device,8,0.68,5,0,0
u13,sensor,2,0.72,1,0,0
u12,lesson,4,0.23,1,3,0
u20,network,6,0.56,6,0,0
u9,meaning,10,0.84,6,3,1
u13,lesson,2,0.64,0,1,1
u15,apple,10,1.0,6,0,1
u8,apple,7,0.74,1,2,1
u1,river,12,0.33,0,0,1
u3,vocab,10,0.52,0,2,0
u12,quiet,11,0.76,6,4,1
u4,future,14,0.54,2,3,1
u3,engine,6,0.49,12,0,0
u19,quiet,11,0.99,10,8,0
u4,system,9,0.36,10,1,0
u10,future,14,0.56,5,0,1
u18,predict,8,0.61,6,1,1
u12,vocab,10,0.68,5,0,0
u4,sensor,1,0.78,4,2,1
u4,quiet,8,0.5,0,2,1
u6,device,6,0.95,6,0,1
u12,quiet,13,0.63,1,1,1
u11,sensor,10,0.82,11,1,0
u13,river,4,0.82,8,0,1
u3,signal,13,0.51,4,0,0
u4,apple,14,0.74,4,4,1
u4,river,10,0.95,3,3,1
u1,lesson,9,0.85,1,2,1
u10,predict,4,0.47,5,3,1
u15,however,2,0.79,10,1,1
u6,lesson,1,1.0,4,1,1
u5,practice,8,0.48,8,4,0
u17,build,6,0.83,4,2,1
u9,predict,8,1.0,4,2,1
u7,predict,13,0.69,6,1,1
u9,lesson,11,0.76,3,2,0
u9,network,6,0.92,0,2,1
u19,quiet,2,0.79,0,2,1
u10,quiet,3,0.33,1,3,1
u13,quiet,2,0.48,0,0,1
u15,vocab,11,0.77,6,1,1
u3,build,4,0.47,10,0,1
u18,predict,2,0.74,6,4,0
u3,device,5,0.89,5,0,0
u9,engine,3,0.23,5,3,0
u18,meaning,3,0.89,5,1,1
u6,teacher,13,0.6,9,2,0
u1,memory,1,0.33,3,4,1
u19,quiet,7,0.66,14,1,0
u6,network,7,0.8,4,2,1
u4,network,10,0.65,6,0,1
u18,memory,4,0.66,0,0,0
u14,engine,13,0.82,6,1,0
u12,vocab,3,1.0,3,0,0
u8,practice,6,0.63,4,0,1
u16,network,5,0.51,0,1,0
u6,sensor,4,0.86,3,4,1
u2,vocab,8,1.0,3,2,1
u2,lesson,11,0.49,3,2,0
u7,signal,1,0.87,1,2,1
u17,command,5,0.62,3,5,0
u8,vocab,7,0.53,0,3,1
u11,river,3,0.44,1,2,0
u5,quiet,12,0.85,1,4,0
u16,apple,5,0.72,5,2,1
u10,quiet,2,0.43,4,0,0
u12,quiet,5,0.68,0,0,0
u11,engine,13,0.77,6,1,1
u14,predict,4,0.54,3,4,0
u17,signal,11,0.51,6,2,0
u14,sensor,9,0.84,2,1,1
u6,river,12,0.73,12,2,0
u5,river,6,0.91,0,4,1
u13,device,2,0.86,0,1,1
u10,build,2,0.69,0,1,0
u7,meaning,10,0.54,5,1,0
u14,predict,13,0.32,0,0,1
u1,network,9,0.5,4,0,0
u2,predict,5,0.88,5,1,1
u19,vocab,8,0.78,11,2,1
u9,apple,13,0.55,11,1,0
u3,however,13,0.94,5,0,1
u11,apple,6,0.47,7,3,0
u1,quiet,3,0.84,9,0,0
u4,system,6,0.82,1,2,1
u8,device,9,0.54,4,0,1
u12,engine,7,0.62,6,0,0
u7,quiet,4,0.8,9,2,0
u4,future,13,0.68,0,5,1
u6,apple,12,0.67,7,3,1
u2,however,8,0.53,6,0,0
u20,memory,13,0.25,3,0,0
u19,command,5,0.85,9,0,0
u18,river,6,0.4,0,0,0
u19,command,12,0.51,4,2,0
u13,command,7,0.79,0,0,1
u7,command,7,0.91,0,1,1
u3,apple,9,0.97,0,3,0
u3,however,1,0.5,0,0,0
u6,quiet,10,0.61,3,0,1
u3,device,10,0.69,7,4,1
u11,memory,9,0.84,5,3,1
u15,engine,11,0.48,0,0,0
u11,sensor,6,0.69,2,5,1
u2,quiet,12,0.67,8,0,1
u14,system,7,0.85,0,2,0
u8,signal,11,0.74,3,0,1
u18,practice,5,0.36,4,0,0
u14,system,9,0.87,15,0,1
u10,however,7,0.67,7,3,0
u2,system,10,0.63,4,1,1
u17,predict,1,0.51,7,2,0
u6,teacher,14,0.29,2,0,0
u12,engine,2,0.52,3,0,0
u7,apple,7,0.14,1,0,0
u18,lesson,4,0.64,3,4,0
u17,build,12,0.62,9,3,0
u17,teacher,13,0.65,6,1,0
u20,future,12,0.3,3,2,0
u4,memory,3,0.64,5,0,0
u19,teacher,12,0.76,10,1,1
u19,lesson,2,0.8,8,0,1
u4,command,12,1.0,0,3,0
u1,memory,13,0.64,4,2,0
u9,future,10,0.46,8,0,0
u6,river,14,0.53,4,1,1
u9,teacher,6,0.53,1,0,1
u10,vocab,4,0.63,4,3,0
u9,engine,6,0.9,2,2,0
u2,lesson,5,0.44,3,0,1
u10,system,2,0.59,9,3,0
u10,vocab,11,0.86,5,2,1
u7,system,6,0.65,7,0,1
u18,engine,4,0.4,10,3,0
u1,build,14,0.96,6,0,1
u10,device,12,0.85,1,2,1
u1,however,2,0.64,10,4,0
u17,sensor,11,0.74,2,4,1
u2,teacher,12,0.87,1,3,0
u4,however,3,0.77,0,1,0
u14,build,12,0.48,9,0,1
u3,signal,5,0.33,0,0,0
u10,signal,3,0.63,4,5,1
u5,system,2,0.81,1,0,1
u18,signal,9,0.48,7,4,1
u16,meaning,5,0.0,0,7,0
u6,system,6,0.48,0,4,1
u16,quiet,14,0.8,1,1,1
u19,network,8,0.87,1,0,0
u10,memory,9,0.81,1,2,1
u6,quiet,7,0.79,6,0,0
u3,future,9,0.98,9,1,1
u10,future,11,0.78,9,5,0
u7,meaning,1,0.68,0,0,0
u8,command,10,0.53,0,0,0
u19,teacher,8,0.81,0,3,1
u20,command,7,0.52,7,0,1
u4,however,2,0.39,0,3,1
u11,command,12,0.73,4,3,1
u16,build,4,0.85,3,2,1
u2,signal,8,0.68,3,2,1
u20,quiet,6,0.65,3,1,0
u14,system,4,0.89,0,3,1
u17,command,13,0.56,0,1,0
u9,future,14,0.62,4,3,1
u19,device,9,0.48,5,2,0
u9,signal,14,0.61,9,3,0
u16,build,5,1.0,0,3,0
u14,river,1,0.28,9,1,0
u6,device,12,0.8,12,3,1
u15,lesson,7,0.28,7,3,0
u14,practice,6,0.67,2,2,1
u2,however,5,0.64,2,3,0
u18,engine,12,0.88,7,1,1
u18,lesson,11,0.66,0,2,0
u8,lesson,14,0.74,1,2,1
u7,quiet,12,0.64,9,3,1
u2,predict,7,0.96,0,0,1
u8,river,2,0.45,0,5,0
u13,practice,9,0.84,0,4,0
u8,practice,9,0.61,7,0,0
u16,meaning,5,0.97,8,0,1
u6,build,9,0.63,6,1,1
u7,predict,14,0.79,0,5,1
u11,network,6,0.71,5,0,0
u4,however,6,0.73,11,0,1
u5,vocab,14,0.71,1,2,1
u6,practice,9,0.95,0,0,1
u18,engine,10,0.63,10,2,0
u15,command,2,0.44,0,3,0
u2,command,1,1.0,0,4,1
u18,signal,6,0.82,3,1,0
u13,lesson,12,0.38,7,2,0
u16,lesson,14,0.53,7,2,0
u12,device,14,1.0,0,0,1
u12,river,14,0.55,12,1,0
u4,predict,14,1.0,0,1,1
u6,signal,2,0.42,0,0,0
u20,river,7,0.68,9,1,0
u6,command,7,0.41,2,0,0
u2,meaning,5,0.48,10,4,1
u14,sensor,8,0.69,3,1,0
u12,apple,5,0.6,8,1,1
u15,system,9,0.74,3,0,1
u1,practice,8,0.59,6,2,1
u6,vocab,14,0.52,8,0,1
u4,meaning,14,0.58,6,1,0
u9,command,6,0.76,9,0,1
u3,practice,14,0.96,5,6,1
u17,river,2,0.65,0,4,1
u19,device,7,0.13,12,1,0
u7,network,7,0.97,5,2,1
u11,teacher,12,0.3,8,3,0
u7,apple,10,0.53,3,6,1
u8,command,14,0.5,0,2,0
u13,quiet,8,0.54,0,0,0
u13,device,12,0.79,0,0,1
u1,meaning,6,0.65,3,3,0
u4,meaning,8,1.0,4,0,1
u16,practice,12,0.99,0,0,1
u14,memory,1,0.62,1,2,0
u20,network,14,0.59,0,0,0
u5,engine,7,0.75,6,0,0
u3,apple,4,0.71,4,0,1
u5,river,3,0.71,5,0,0
u13,practice,8,0.49,2,0,1
u9,apple,7,0.73,9,2,0
u7,command,8,0.62,3,2,0
u6,apple,8,0.75,3,0,1
u3,vocab,1,0.59,9,1,0
u10,quiet,5,0.76,2,0,1
u12,apple,11,0.58,3,0,0
u5,river,8,0.41,0,2,1
u1,vocab,4,0.22,1,2,0
u10,teacher,14,0.73,1,1,1
u8,future,7,0.37,6,0,0
u10,build,2,0.6,2,2,1
u6,network,6,0.48,9,2,0
u1,command,11,0.8,3,0,1
u17,meaning,2,0.98,7,4,1
u19,memory,9,0.58,6,1,1
u11,apple,8,0.57,4,3,1
u19,future,4,0.5,6,1,0
u4,river,10,0.69,8,3,1
u8,network,2,0.83,2,0,1
u17,memory,4,0.49,0,0,1
u6,lesson,7,0.49,4,2,1
u14,predict,4,0.54,12,0,0
u3,command,2,0.47,9,6,0
u12,build,10,0.72,3,0,0
u19,command,12,0.36,4,2,1
u4,device,8,0.6,13,0,0
u1,build,14,0.87,4,3,1
u16,teacher,7,0.8,6,4,0
u1,apple,4,0.54,6,2,1
u16,practice,10,0.42,8,0,0
u15,practice,7,0.73,2,1,0
u19,engine,6,0.63,0,1,0
u18,memory,11,0.41,4,3,0
u11,build,8,0.86,1,1,1
u4,build,14,0.85,4,2,1
u13,command,4,0.7,3,3,1
u17,vocab,6,0.89,4,0,1
u1,build,8,0.36,0,4,0
u13,apple,1,0.76,2,1,0
u6,meaning,3,0.79,8,3,1
u7,future,7,0.52,3,5,0
u13,device,9,0.4,4,1,0
u18,engine,6,0.27,6,1,0
u14,memory,1,0.68,7,2,1
u4,future,4,0.38,5,3,1
u10,vocab,13,0.43,9,0,0
u18,apple,1,0.54,7,0,1
u6,river,11,0.67,1,1,0
u14,lesson,9,0.52,3,3,1
u19,command,9,0.73,5,2,1
u7,memory,7,0.54,6,2,0
u5,signal,3,0.63,8,0,0
u8,lesson,1,0.7,5,1,1
u9,vocab,12,0.71,6,0,0
u20,lesson,12,0.89,3,2,0
u15,signal,3,0.59,10,0,1
u10,command,6,0.67,3,0,0
u15,predict,4,0.93,4,0,0
u13,memory,4,0.58,0,0,1
u2,system,11,0.68,8,1,1
u10,teacher,14,0.62,1,1,1
u1,however,8,0.75,0,0,0
u10,apple,6,0.58,3,2,0
u6,network,8,0.97,4,3,1
u20,lesson,2,0.66,8,0,0
u16,memory,13,0.89,1,2,1
u9,memory,4,0.85,3,0,1
u9,meaning,10,0.63,6,1,0
u18,however,3,0.55,2,0,0
u2,predict,4,0.65,5,3,1
u11,command,14,0.45,0,2,0
u20,command,14,0.41,5,1,1
u13,teacher,14,0.72,0,0,1
u15,signal,7,0.79,2,4,0
u11,network,13,0.51,3,2,1
u14,command,3,0.67,6,0,0
u15,river,13,0.47,0,0,0
u12,however,2,0.56,6,3,1
u5,command,4,0.53,2,8,1
u1,river,7,0.7,7,2,1
u20,device,3,0.26,14,5,0
u4,sensor,1,0.74,0,0,1
u11,memory,10,0.63,6,4,1
u11,however,6,0.53,1,3,0
u19,signal,9,0.3,6,1,1
u11,however,11,0.59,8,0,0
u10,device,10,0.55,2,2,1
u17,meaning,4,0.81,0,0,1
u6,however,2,0.2,4,4,0
u5,signal,13,0.33,6,2,1
u16,practice,13,0.79,2,4,0
u7,teacher,12,0.76,7,4,1
u20,build,3,0.59,1,1,0
u9,apple,8,0.4,2,3,1
u13,engine,9,0.33,3,4,0
u16,practice,12,0.64,4,0,1
u13,command,6,0.74,4,1,0
u11,system,2,0.55,4,4,0
u2,memory,11,0.98,0,3,1
u19,build,6,0.65,8,2,0
u17,meaning,13,0.48,3,2,0
u4,practice,12,0.38,8,2,0
u12,practice,7,1.0,5,4,1
u16,build,2,0.91,1,0,0
u20,device,7,0.56,0,0,0
u10,practice,14,0.39,3,2,0
u7,system,13,0.66,0,1,1
u5,engine,14,0.84,11,2,0
u10,meaning,5,0.53,2,5,1
u10,system,12,0.67,4,4,1
u5,system,8,0.7,10,4,0
u1,predict,8,0.72,1,0,1
u18,practice,12,0.52,0,2,1
u9,teacher,5,0.85,3,1,1
u10,predict,6,0.54,4,1,1
u19,practice,8,0.56,2,3,1
u15,however,14,0.81,9,0,1
u5,river,11,0.96,0,0,0
u13,teacher,8,0.74,1,0,0
u9,command,5,0.73,14,0,1
u19,system,6,0.43,4,0,1
u5,predict,4,0.6,5,0,0
u20,future,4,0.64,5,0,0
u19,river,9,0.32,6,1,0
u20,predict,13,0.5,14,0,0
u17,system,11,0.4,2,1,0
u6,lesson,2,0.97,4,4,1
u13,quiet,12,0.79,5,0,1
u14,memory,7,0.93,3,2,1
u6,teacher,9,0.74,2,2,1
u8,lesson,7,0.53,7,4,1
u3,engine,3,0.79,0,2,1
u3,predict,2,0.38,7,1,0
u4,device,3,0.92,2,0,1
u11,teacher,8,0.84,6,3,1
u18,lesson,12,0.95,1,1,1
u2,memory,7,0.58,2,1,0
u12,practice,10,0.91,9,4,1
u20,apple,6,0.7,1,0,0
u11,quiet,4,0.48,3,2,1
u16,apple,7,0.66,0,2,1
u11,river,12,0.64,5,2,1
u17,lesson,6,0.46,7,2,0
u12,system,13,0.95,1,2,1
u12,device,8,0.22,0,2,0
u13,memory,9,0.97,3,3,1
u16,future,6,1.0,4,0,1
u1,quiet,10,0.94,3,3,0
u2,vocab,1,0.65,1,0,0
u4,practice,2,0.51,3,1,1
u13,teacher,12,0.51,9,0,1
u19,practice,10,0.55,5,0,1
u6,vocab,14,0.91,2,4,0
u8,lesson,4,0.67,0,2,0
u20,river,14,0.28,0,1,0
u4,predict,9,1.0,3,3,1
u6,practice,14,0.56,11,4,0
u17,teacher,5,0.78,0,1,0
u11,vocab,2,0.7,2,1,1
u5,lesson,2,0.65,8,0,0
u8,quiet,4,0.54,1,0,0
u13,predict,9,1.0,0,2,1
u14,predict,10,0.74,0,4,0
u1,river,3,0.69,4,7,1
u1,quiet,11,0.84,4,3,0
u1,teacher,12,0.74,8,4,1
u1,predict,14,0.43,4,4,0
u13,network,9,0.95,0,1,1
u8,device,11,0.74,7,2,0
